"Colony","Day","Multiplier","PollenWeightG"
10,22,0,NA
11,22,0,NA
12,22,0,NA
13,22,0,NA
14,22,0,NA
15,22,0,NA
16,22,0,NA
17,22,0,NA
18,22,0,NA
19,22,0,NA
20,22,0,NA
21,22,0,NA
22,22,0,NA
23,22,0,NA
24,22,0,NA
1,23,1,11.32
2,23,1,27.47
3,23,1,15.62
4,23,1,11.48
5,23,1,8.82
6,23,1,3.42
7,23,1,9.08
8,23,1,29.88
9,23,1,17.18
10,23,1,16.61
11,23,1,10.2
12,23,1,10.55
13,23,1,7.34
14,23,1,10.24
15,23,1,16.63
16,23,1,13.1
17,23,1,19.11
18,23,1,9.05
19,23,1,8.31
20,23,1,6.94
21,23,1,8.37
22,23,1,3.38
23,23,1,17.79
24,23,1,12.61
1,24,1,NA
2,24,1,NA
3,24,1,NA
4,24,1,NA
5,24,1,NA
6,24,1,NA
7,24,1,NA
8,24,1,NA
9,24,1,NA
10,24,1,NA
11,24,1,NA
12,24,1,NA
13,24,1,NA
14,24,1,NA
15,24,1,NA
16,24,1,NA
17,24,1,NA
18,24,1,NA
19,24,1,NA
20,24,1,NA
21,24,1,NA
22,24,1,NA
23,24,1,NA
24,24,1,NA
1,25,0,NA
2,25,0,NA
3,25,0,NA
4,25,0,NA
5,25,0,NA
6,25,0,NA
7,25,0,NA
8,25,0,NA
9,25,0,NA
10,25,0,NA
11,25,0,NA
12,25,0,NA
13,25,0,NA
14,25,0,NA
15,25,0,NA
16,25,0,NA
17,25,0,NA
18,25,0,NA
19,25,0,NA
20,25,0,NA
21,25,0,NA
22,25,0,NA
23,25,0,NA
24,25,0,NA
1,26,2,45.53
2,26,2,94.58
3,26,2,51.36
4,26,2,35.67
5,26,2,25.35
6,26,2,7.4
7,26,2,43.24
8,26,2,86.98
9,26,2,46.92
10,26,2,56.88
11,26,2,36.46
12,26,2,36.17
13,26,2,29.61
14,26,2,40.43
15,26,2,83.58
16,26,2,28.82
17,26,2,63.22
18,26,2,35.05
19,26,2,24.12
20,26,2,19.25
21,26,2,32.8
22,26,2,18.2
23,26,2,73.62
24,26,2,52.5
1,27,0,NA
2,27,0,NA
3,27,0,NA
4,27,0,NA
5,27,0,NA
6,27,0,NA
7,27,0,NA
8,27,0,NA
9,27,0,NA
10,27,0,NA
11,27,0,NA
12,27,0,NA
13,27,0,NA
14,27,0,NA
15,27,0,NA
16,27,0,NA
17,27,0,NA
18,27,0,NA
19,27,0,NA
20,27,0,NA
21,27,0,NA
22,27,0,NA
23,27,0,NA
24,27,0,NA
1,28,1,14.5
2,28,1,24.55
3,28,1,11.81
4,28,1,10.13
5,28,1,7.41
6,28,1,4.3
7,28,1,12.78
8,28,1,25.62
9,28,1,15.46
10,28,1,19.39
11,28,1,9.59
12,28,1,13.73
13,28,1,8.52
14,28,1,13.98
15,28,1,23.77
16,28,1,24.82
17,28,1,15.86
18,28,1,12.87
19,28,1,9.3
20,28,1,11.29
21,28,1,10.25
22,28,1,7.97
23,28,1,25.5
24,28,1,24.41
1,29,1,35.15
2,29,1,62.2
3,29,1,27.37
4,29,1,22.7
5,29,1,17.21
6,29,1,10.18
7,29,1,26.57
8,29,1,56.73
9,29,1,38.99
10,29,1,43.74
11,29,1,21.06
12,29,1,22.72
13,29,1,17.03
14,29,1,29.33
15,29,1,51.77
16,29,1,53.87
17,29,1,44.99
18,29,1,32.24
19,29,1,22.91
20,29,1,27.21
21,29,1,24.84
22,29,1,10.43
23,29,1,53.16
24,29,1,59.76
1,30,1,20.85
2,30,1,36.83
3,30,1,16.48
4,30,1,15.8
5,30,1,11.15
6,30,1,6.8
7,30,1,22.55
8,30,1,37.64
9,30,1,23.31
10,30,1,23.8
11,30,1,15.52
12,30,1,10.04
13,30,1,12.29
14,30,1,19.59
15,30,1,36.33
16,30,1,33.11
17,30,1,19.54
18,30,1,14.79
19,30,1,10.91
20,30,1,15.59
21,30,1,11.55
22,30,1,4.94
23,30,1,34.57
24,30,1,30.54
1,31,1,24.08
2,31,1,38.75
3,31,1,19.54
4,31,1,16.33
5,31,1,10.12
6,31,1,6.75
7,31,1,22.35
8,31,1,39.55
9,31,1,29.36
10,31,1,27.02
11,31,1,15.43
12,31,1,8.06
13,31,1,12.35
14,31,1,23.02
15,31,1,39.23
16,31,1,46.2
17,31,1,31.56
18,31,1,20.83
19,31,1,12.49
20,31,1,13.11
21,31,1,15.77
22,31,1,15.96
23,31,1,21.91
24,31,1,41.03
1,32,0,NA
2,32,0,NA
3,32,0,NA
4,32,0,NA
5,32,0,NA
6,32,0,NA
7,32,0,NA
8,32,0,NA
9,32,0,NA
10,32,0,NA
11,32,0,NA
12,32,0,NA
13,32,0,NA
14,32,0,NA
15,32,0,NA
16,32,0,NA
17,32,0,NA
18,32,0,NA
19,32,0,NA
20,32,0,NA
21,32,0,NA
22,32,0,NA
23,32,0,NA
24,32,0,NA
1,33,3,43.08
2,33,3,69.2
3,33,3,25.79
4,33,3,28.99
5,33,3,21.6
6,33,3,13.63
7,33,3,25.11
8,33,3,50.64
9,33,3,55.28
10,33,3,47.19
11,33,3,28.43
12,33,3,15.07
13,33,3,19.54
14,33,3,32.35
15,33,3,59.8
16,33,3,67.33
17,33,3,71.71
18,33,3,49.86
19,33,3,35.88
20,33,3,40.78
21,33,3,24.64
22,33,3,38.59
23,33,3,70.64
24,33,3,96
1,34,0,NA
2,34,0,NA
3,34,0,NA
4,34,0,NA
5,34,0,NA
6,34,0,NA
7,34,0,NA
8,34,0,NA
9,34,0,NA
10,34,0,NA
11,34,0,NA
12,34,0,NA
13,34,0,NA
14,34,0,NA
15,34,0,NA
16,34,0,NA
17,34,0,NA
18,34,0,NA
19,34,0,NA
20,34,0,NA
21,34,0,NA
22,34,0,NA
23,34,0,NA
24,34,0,NA
1,35,1,15.18
2,35,1,24.7
3,35,1,8.59
4,35,1,8.79
5,35,1,5.98
6,35,1,3.02
7,35,1,8.13
8,35,1,15.47
9,35,1,19.25
10,35,1,13.56
11,35,1,8.73
